,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
5882,PABPN1,Q86U42,Polyadenylate-binding protein 2,306,32749,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10688363, ECO:0000269|PubMed:11001936, ECO:0000269|PubMed:14663186, ECO:0000269|PubMed:27209344}. Cytoplasm {ECO:0000269|PubMed:10688363, ECO:0000269|PubMed:11001936, ECO:0000269|PubMed:14663186, ECO:0000269|PubMed:17289661}. Nucleus speckle {ECO:0000269|PubMed:10688363, ECO:0000269|PubMed:11371506}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Shuttles between the nucleus and the cytoplasm but predominantly found in the nucleus (PubMed:10688363). Its nuclear import may involve the nucleocytoplasmic transport receptor transportin and a RAN-GTP-sensitive import mechanism (By similarity). Is exported to the cytoplasm by a carrier-mediated pathway that is independent of mRNA traffic. Colocalizes with SKIP and poly(A) RNA in nuclear speckles (By similarity). Intranuclear filamentous inclusions or 'aggregates' are detected in the myocytes of patients; these inclusions contain PABPN1, ubiquitin, subunits of the proteasome and poly(A) RNA. {ECO:0000250|UniProtKB:Q28165, ECO:0000269|PubMed:10688363, ECO:0000269|PubMed:11001936, ECO:0000269|PubMed:11371506, ECO:0000269|PubMed:14663186, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:27209344}.",High,67141.40383971893
5883,PACC1,Q9H813,Proton-activated chloride channel,350,40043,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31023925, ECO:0000269|PubMed:31318332}; Multi-pass membrane protein {ECO:0000305}.",Medium,
5884,PACS1,Q6VY07,Phosphofurin acidic cluster sorting protein 1,963,104898,"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:O88588}. Note=Localizes in the perinuclear region, probably the TGN. {ECO:0000305|PubMed:11331585}.",Medium,15808.691369222648
5885,PACS2,Q86VP3,Phosphofurin acidic cluster sorting protein 2,889,97702,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:15692567}. Mitochondrion {ECO:0000269|PubMed:15692567}.,Low,3933.056346126363
5886,PACSIN2,Q9UNF0,Protein kise C and casein kise substrate in neurons protein 2,486,55739,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Early endosome. Recycling endosome membrane. Cell projection, ruffle membrane; Peripheral membrane protein; Cytoplasmic side. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection {ECO:0000269|PubMed:31242077}. Membrane, caveola {ECO:0000269|PubMed:22323287}. Note=Detected at the neck of flask-shaped caveolae. Localization to tubular recycling endosomes probably requires interaction with MICALL1 and EHD1.",Medium,34464.26214216352
5887,PADI2,Q9Y2J8,Protein-arginine deimise type-2,665,75564,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12392711}.,Medium,
5888,PAF1,Q8N7H5,R polymerase II-associated factor 1 homolog,531,59976,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16491129, ECO:0000269|PubMed:30367041}. Note=Punctuate distribution throughout the nucleus except in nucleoli and the perinuclear chromatin.",Medium,22320.42597166855
5889,PAFAH1B1,P43034,Platelet-activating factor acetylhydrolase IB subunit beta,410,46638,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, cytoskeleton, spindle {ECO:0000255|HAMAP-Rule:MF_03141}. Nucleus membrane {ECO:0000255|HAMAP-Rule:MF_03141}. Note=Redistributes to axons during neuronal development. Also localizes to the microtubules of the manchette in elongating spermatids and to the meiotic spindle in spermatocytes (By similarity). Localizes to the plus end of microtubules and to the centrosome. May localize to the nuclear membrane. {ECO:0000250}.",High,693667.4799405565
5890,PAFAH1B2,P68402,Platelet-activating factor acetylhydrolase IB subunit alpha2,229,25569,SUBCELLULAR LOCATION: Cytoplasm.,High,212145.36933126015
5891,PAFAH1B3,Q15102,Platelet-activating factor acetylhydrolase IB subunit alpha1,231,25734,SUBCELLULAR LOCATION: Cytoplasm.,High,1535378.5757657848
5892,PAFAH2,Q99487,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",392,44036,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9494101}. Membrane {ECO:0000250|UniProtKB:P79106}; Lipid-anchor {ECO:0000250|UniProtKB:P79106}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P79106}; Lipid-anchor {ECO:0000250|UniProtKB:P79106}. Note=In resting cells, localizes to intracellular membranes and cytoplasm. Translocates from the cytoplasm to intracellular membranes upon oxidative stress. {ECO:0000250|UniProtKB:P79106}.",Low  ,
5893,PAG1,Q9NWQ8,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,432,46981,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10790433, ECO:0000269|PubMed:18070987}; Single-pass type III membrane protein {ECO:0000269|PubMed:10790433, ECO:0000269|PubMed:18070987}. Note=Present in lipid rafts.",Low,4351.472517414899
5894,PAGR1,Q9BTK6,PAXIP1-associated glutamate-rich protein 1,254,27716,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19039327}.,Low  ,
5895,PAH,P00439,Phenylalanine-4-hydroxylase,452,51862,,Medium,
5896,PAICS,P22234,Bifunctiol phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,425,47079,,High,392058.7365156165
5897,PAIP1,Q9H074,Polyadenylate-binding protein-interacting protein 1,479,53525,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,High,48346.82844654858
5898,PAIP2,Q9BPZ3,Polyadenylate-binding protein-interacting protein 2,127,14984,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11172725}.,Low  ,
5899,PAIP2B,Q9ULR5,Polyadenylate-binding protein-interacting protein 2B,123,14237,,Low  ,
5900,PAK1,Q13153,Serine/threonine-protein kise PAK 1,545,60647,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11896197, ECO:0000269|PubMed:23260667, ECO:0000269|PubMed:25766321}. Cell junction, focal adhesion {ECO:0000269|PubMed:11896197, ECO:0000269|PubMed:25766321}. Cell projection, lamellipodium {ECO:0000269|PubMed:11896197}. Cell membrane {ECO:0000269|PubMed:25766321}. Cell projection, ruffle membrane {ECO:0000269|PubMed:25766321}. Cell projection, invadopodium {ECO:0000269|PubMed:25766321}. Nucleus, nucleoplasm {ECO:0000269|PubMed:23260667}. Chromosome {ECO:0000269|PubMed:23260667}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:27012601}. Note=Colocalizes with RUFY3, F-actin and other core migration components in invadopodia at the cell periphery (PubMed:25766321). Recruited to the cell membrane by interaction with CDC42 and RAC1. Recruited to focal adhesions upon activation. Colocalized with CIB1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Upon DNA damage, translocates to the nucleoplasm when phosphorylated at Thr-212 where is co-recruited with MORC2 on damaged chromatin (PubMed:23260667). Localization to the centrosome does not depend upon the presence of gamma-tubulin (PubMed:27012601). Localization of the active, but not inactive, protein to the adhesions and edge of lamellipodia is mediated by interaction with GIT1 (PubMed:11896197). {ECO:0000250|UniProtKB:P35465, ECO:0000269|PubMed:11896197, ECO:0000269|PubMed:23260667, ECO:0000269|PubMed:25766321, ECO:0000269|PubMed:27012601}.",High,176062.18208319118
5901,PAK1IP1,Q9NWT1,p21-activated protein kise-interacting protein 1,392,43964,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.",High,
5902,PAK2,Q13177,Serine/threonine-protein kise PAK 2,524,58043,"SUBCELLULAR LOCATION: [Serine/threonine-protein kinase PAK 2]: Cytoplasm {ECO:0000269|PubMed:19923322, ECO:0000269|PubMed:21555521}. Nucleus {ECO:0000269|PubMed:12853446, ECO:0000269|PubMed:21555521}. Note=MYO18A mediates the cellular distribution of the PAK2-ARHGEF7-GIT1 complex to the inner surface of the cell membrane. {ECO:0000269|PubMed:19923322}.; SUBCELLULAR LOCATION: [PAK-2p34]: Nucleus {ECO:0000269|PubMed:12853446}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:15471851}. Membrane {ECO:0000269|PubMed:16617111}; Lipid-anchor {ECO:0000269|PubMed:16617111}. Note=Interaction with ARHGAP10 probably changes PAK-2p34 location to cytoplasmic perinuclear region (PubMed:15471851). Myristoylation changes PAK-2p34 location to the membrane (PubMed:16617111). {ECO:0000269|PubMed:15471851, ECO:0000269|PubMed:16617111}.",High,244488.46043774084
5903,PAK3,O75914,Serine/threonine-protein kise PAK 3,559,62310,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Medium,32464.595723727012
5904,PAK4,O96013,Serine/threonine-protein kise PAK 4,591,64072,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12356872}. Note=Seems to shuttle between cytoplasmic compartments depending on the activating effector. For example, can be found on the cell periphery after activation of growth-factor or integrin-mediated signaling pathways. {ECO:0000269|PubMed:12356872}.",Low,6638.057351124021
5905,PAK5,Q9P286,Serine/threonine-protein kise PAK 5,719,80745,"SUBCELLULAR LOCATION: Mitochondrion. Cytoplasm. Nucleus. Note=Shuttles between the nucleus and the mitochondria, and mitochondrial localization is essential for the role in cell survival.",Low,4386.577168130205
5906,PAK6,Q9NQU5,Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6),681,74869,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Cotranslocates into nucleus with AR in response to androgen induction.,Very low,
5907,PALD1,Q9ULE6,Paladin,856,96754,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:22354871}.",High,
5908,PALLD,Q8WX93,Palladin,1383,150564,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11598191, ECO:0000269|PubMed:17322171, ECO:0000269|PubMed:17537434}. Cell junction, focal adhesion {ECO:0000269|PubMed:17322171}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:16125169}. Cell projection, ruffle {ECO:0000269|PubMed:17537434}. Cell projection, podosome {ECO:0000250|UniProtKB:P0C5E3}. Cell projection, lamellipodium {ECO:0000269|PubMed:17537434}. Cell projection, axon {ECO:0000250|UniProtKB:P0C5E3}. Cell projection, growth cone {ECO:0000250|UniProtKB:P0C5E3}. Note=Localizes to stress fibers and Z lines (PubMed:11598191, PubMed:16125169, PubMed:17322171, PubMed:17537434). Preferentially expressed in the excitatory presynaptic terminals (By similarity). {ECO:0000250|UniProtKB:P0C5E3, ECO:0000269|PubMed:11598191, ECO:0000269|PubMed:16125169, ECO:0000269|PubMed:17322171, ECO:0000269|PubMed:17537434}.",Low,6465.5249370351885
5909,PALM,O75781,Paralemmin-1,387,42076,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14978216}; Lipid-anchor {ECO:0000269|PubMed:14978216}; Cytoplasmic side {ECO:0000269|PubMed:14978216}. Cell projection, filopodium membrane {ECO:0000269|PubMed:14978216}; Lipid-anchor {ECO:0000269|PubMed:14978216}. Cell projection, axon {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Basolateral cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Apicolateral cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Note=Translocation to the plasma membrane is enhanced upon stimulation of neuronal activity.",High,254174.34539750085
5910,PALM2,Q8IXS6,Paralemmin-2,379,42185,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}.,Very Low,386.871012928797
5911,PALM3,A6NDB9,Paralemmin-3,673,71695,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}.,Medium,13233.40106375055
5912,PALS1,Q8N3R9,Protein PALS1,675,77294,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:21479189}. Cell membrane; Peripheral membrane protein. Endomembrane system; Peripheral membrane protein. Cell junction, tight junction {ECO:0000269|PubMed:20861307}. Cell junction, adherens junction {ECO:0000269|PubMed:16519681}. Cell projection, axon {ECO:0000250|UniProtKB:Q9JLB2}. Perikaryon {ECO:0000250|UniProtKB:Q9JLB2}. Apical cell membrane {ECO:0000269|PubMed:15914641, ECO:0000269|PubMed:16519681, ECO:0000269|PubMed:25385611}. Note=Localized to the tight junctions of epithelial cells (By similarity). Localized to the Golgi apparatus in T lymphocytes (PubMed:21479189). Localized to a subset of intracellular vesicles (By similarity). Localized to the Purkinje cell body and axon (By similarity). Localized to intercellular junctions in vascular endothelial cells (PubMed:27466317). Localized to Schmidt-Lanterman incisures, the adaxonal domain, and the inner part of paranodal loops in myelinating Schwann cells of the sciatic nerve (By similarity). Localized to apical membrane domains of the outer limiting membrane (OLM) junctions in the retina (By similarity). Colocalizes with CRB1 at the OLM, apical to the adherens junction (PubMed:15914641). Colocalizes with MPP1 in the retina at the OLM (PubMed:17584769). Colocalizes with MPP3 to the subapical region of adherens junctions in the retina OLM (PubMed:16519681). {ECO:0000250|UniProtKB:Q9JLB2, ECO:0000269|PubMed:15914641, ECO:0000269|PubMed:16519681, ECO:0000269|PubMed:17584769, ECO:0000269|PubMed:21479189, ECO:0000269|PubMed:27466317}.; SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:20861307}. Golgi apparatus {ECO:0000269|PubMed:20861307}. Note=(Microbial infection) Following infection by human SARS coronavirus, partially localized at the site of viral replication; the endoplasmic reticulum-Golgi intermediate compartment, reducing its levels at cell-cell contacts which results in delayed formation of tight junctions and affects establishment of cell polarity. {ECO:0000269|PubMed:20861307}.",Low  ,1171.924516310959
5913,PALS2,Q9NZW5,Protein PALS2,540,61117,SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,Medium,11464.837889307928
5914,PAM,P19021,Peptidyl-glycine alpha-amidating monooxygese,973,108332,"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:P10731}; Single-pass membrane protein {ECO:0000250|UniProtKB:P10731}. Note=Secretory granules. {ECO:0000250|UniProtKB:P10731}.; SUBCELLULAR LOCATION: [Isoform 1]: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted. Note=Secreted from secretory granules.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted. Note=Secreted from secretory granules.",Low  ,2064.4892982661363
5915,PAM16,Q9Y3D7,Mitochondrial import inner membrane translocase subunit TIM16,125,13825,"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11750097, ECO:0000269|PubMed:20053669}; Peripheral membrane protein {ECO:0000269|PubMed:11750097, ECO:0000269|PubMed:20053669}; Matrix side {ECO:0000269|PubMed:11750097, ECO:0000269|PubMed:20053669}.",Medium,38860.35218291593
5916,PAN2,Q504Q3,PAN2-PAN3 deadenylation complex catalytic subunit PAN2,1202,135368,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14583602, ECO:0000269|PubMed:16284618}. Cytoplasm, P-body {ECO:0000255|HAMAP-Rule:MF_03182, ECO:0000269|PubMed:18625844, ECO:0000269|PubMed:23398456}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03182, ECO:0000269|PubMed:16284618}. Note=Shuttles between nucleus and cytoplasm. {ECO:0000255|HAMAP-Rule:MF_03182, ECO:0000269|PubMed:16284618}.",High,
5917,PAN3,Q58A45,PAN2-PAN3 deadenylation complex subunit PAN3,887,95613,"SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000255|HAMAP-Rule:MF_03181, ECO:0000269|PubMed:14583602, ECO:0000269|PubMed:18625844}.",Medium,
5918,PANK1,Q8TE04,Pantothete kise 1,598,64339,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14523052}.; SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000269|PubMed:23152917}. Nucleus, nucleolus {ECO:0000269|PubMed:23152917}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytosol {ECO:0000269|PubMed:23152917}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:23152917}. Recycling endosome {ECO:0000269|PubMed:23152917}.",Very low,220.9314457456071
5919,PANK2,Q9BZ23,"Pantothete kise 2, mitochondrial",570,62681,"SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:12554685, ECO:0000269|PubMed:15659606, ECO:0000269|PubMed:17825826}. Mitochondrion intermembrane space {ECO:0000269|PubMed:23152917}. Nucleus {ECO:0000269|PubMed:23152917}. Note=Localizes predominantly to the mitochondria and to a lesser extent to the nucleus. Found in both the mitochondria and the nucleus throughout the cell cycle, with the exception of the G2/M phase when it is restricted to mitochdondria. {ECO:0000269|PubMed:23152917}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:12554685, ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm {ECO:0000305}.",Low,2612.163169014808
5920,PANK3,Q9H999,Pantothete kise 3,370,41094,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23152917, ECO:0000305}.",High,
5921,PANK4,Q9NVE7,4'-phosphopantetheine phosphatase,773,85991,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q923S8}.,Medium,16629.04295210475
5922,PANX1,Q96RD7,Pannexin-1,426,48050,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30918116}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00351}. Cell junction, gap junction {ECO:0000269|PubMed:16908669, ECO:0000269|PubMed:17715132}. Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00351}.",Low,1587.685959147805
5923,PAOX,Q6QHF9,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,511,55513,SUBCELLULAR LOCATION: Peroxisome {ECO:0000250}. Cytoplasm {ECO:0000250}.,Low  ,
5924,PAPOLA,P51003,Poly(A) polymerase alpha,745,82843,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=The 90 kDa form is nuclear while the 100 kDa and the 106 kDa forms are both nuclear and cytoplasmic.,Low,6131.301664697491
5925,PAPOLG,Q9BWT3,Poly(A) polymerase gamma,736,82803,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11287430, ECO:0000269|PubMed:11431479, ECO:0000269|PubMed:11463842}.",High,
5926,PAPPA,Q13219,Pappalysin-1,1627,180973,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10077652}.,Very low,
5927,PAPSS1,O43252,Bifunctiol 3'-phosphoadenosine 5'-phosphosulfate synthase 1,624,70833,,Medium,19832.414606435283
5928,PAPSS2,O95340,Bifunctiol 3'-phosphoadenosine 5'-phosphosulfate synthase 2,614,69501,,Very low,
5929,PAQR3,Q6TCH7,Progestin and adipoQ receptor family member 3,311,36217,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:18547165}; Multi-pass membrane protein {ECO:0000269|PubMed:18547165}.,Medium,
5930,PAQR4,Q8N4S7,Progestin and adipoQ receptor family member 4,273,29126,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Medium,
5931,PAQR7,Q86WK9,Membrane progestin receptor alpha,346,39719,SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:23763432}; Multi-pass membrane protein {ECO:0000255}.,Low  ,
5932,PARD3,Q8TEW0,Partitioning defective 3 homolog,1356,151423,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Endomembrane system {ECO:0000269|PubMed:20332120}. Cell junction {ECO:0000269|PubMed:20332120, ECO:0000269|PubMed:27925688}. Cell junction, tight junction {ECO:0000269|PubMed:20332120, ECO:0000269|PubMed:27925688}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q99NH2}. Cell membrane {ECO:0000269|PubMed:20332120, ECO:0000269|PubMed:27925688}. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:20332120}. Note=Localized along the cell-cell contact region. Colocalizes with PARD6A and PRKCI at epithelial tight junctions. Colocalizes with the cortical actin that overlays the meiotic spindle during metaphase I and metaphase II. Colocalized with SIRT2 in internode region of myelin sheath (By similarity). Presence of KRIT1, CDH5 and RAP1B is required for its localization to the cell junction. {ECO:0000250}.",Medium,
5933,PARD6A,Q9NPB6,Partitioning defective 6 homolog alpha,346,37388,"SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Cell projection, ruffle. Cell junction, tight junction. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:20719959}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20719959}. Note=Colocalizes with GTP-bound CDC42 or RAC1 at membrane ruffles and with PARD3 and PRKCI at epithelial tight junctions. Recruited to the centrosome by a microtubule and dynein-dynactin-dependent mechanism. {ECO:0000269|PubMed:20719959}.",Low  ,1487.5560080598466
5934,PARD6B,Q9BYG5,Partitioning defective 6 homolog beta,372,41182,"SUBCELLULAR LOCATION: Cytoplasm. Cell membrane {ECO:0000250}. Cell junction, tight junction {ECO:0000250}.",Very low,676.3403796942418
